district,county,state_school_id,nces_id,school_name,school_type,is_zoned_public,is_charter,is_magnet,is_private,grades_served,address,city,zip,latitude,longitude,source_url,notes
ORANGE,ORANGE,480781,,DOVER SHORES ELEMENTARY,Elementary,YES,NO,,NO,,1200 Gaston Foster Rd,Orlando,32812,28.5270475232657,-81.3259816838213,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480791,,MOLLIE RAY ELEMENTARY,Elementary,YES,NO,,NO,,2000 Beecher St,Orlando,32808,28.5708606778386,-81.449700085769,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480811,,TANGELO PARK ELEMENTARY,Elementary,YES,NO,,NO,,5115 Anzio St,Orlando,32819,28.4572805654847,-81.4493291041287,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480821,,LOVELL ELEMENTARY,Elementary,YES,NO,,NO,,815 Roger Williams Rd,Apopka,32703,28.6684655567206,-81.4836009041972,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480831,,CHICKASAW ELEMENTARY,Elementary,YES,NO,,NO,,6900 Autumnvale Dr,Orlando,32822,28.525445410423,-81.2950265169456,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480841,,SPRING LAKE ELEMENTARY,Elementary,YES,NO,,NO,,1105 Sarah Lee Ln,Ocoee,34761,28.5878447607407,-81.5239131405361,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480851,,LANCASTER ELEMENTARY,Elementary,YES,NO,,NO,,6700 Sheryl Ann Dr,Orlando,32809,28.462421233175,-81.3795360700247,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480861,,ROLLING HILLS ELEMENTARY,Elementary,YES,NO,,NO,,4903 Donovan St,Orlando,32808,28.5906280017568,-81.4470490908214,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480871,,BONNEVILLE ELEMENTARY,Elementary,YES,NO,,NO,,14700 Sussex Dr,Orlando,32826,28.5844198709093,-81.1830197159148,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480881,,HIAWASSEE ELEMENTARY,Elementary,YES,NO,,NO,,6800 Hennepin Blvd,Orlando,32818,28.5673534252588,-81.4731783272935,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480891,,MICHAEL MCCOY ELEMENTARY,Elementary,YES,NO,,NO,,5225 S Semoran Blvd,Orlando,32822,28.4865393050368,-81.308466811104,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480901,,PERSHING SCHOOL,Combination,YES,NO,,NO,,1800 Pershing Ave,Orlando,32806,28.4975720016151,-81.3545677606563,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480911,,UNION PARK MIDDLE,Middle/Junior,YES,NO,,NO,,1600 N Dean Rd,Orlando,32825,28.5668279252707,-81.2462271404005,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480921,,ROBINSWOOD MIDDLE,Middle/Junior,YES,NO,,NO,,6305 Balboa Dr,Orlando,32818,28.5603890177133,-81.4710337296151,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 02; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480931,,DR. PHILLIPS HIGH,Senior High,YES,NO,,NO,,6909 Dr Phillips Blvd,Orlando,32819,28.4616912137853,-81.4897574665863,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480932,,LAKE BUENA VISTA HIGH SCHOOL,Senior High,YES,NO,,NO,,11305 Daryl Cater Pkwy,Orlando,32836,28.4035327719092,-81.4930221638889,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 03; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480941,,PRAIRIE LAKE ELEMENTARY,Elementary,YES,NO,,NO,,8723 Hackney Prairie Rd,Orlando,32818,28.5999359695253,-81.50432355782,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480961,,PALM LAKE ELEMENTARY,Elementary,YES,NO,,NO,,8000 Pin Oak Dr,Orlando,32819,28.4836870784034,-81.4940313181058,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480971,,VENTURA ELEMENTARY,Elementary,YES,NO,,NO,,4400 Woodgate Blvd,Orlando,32822,28.5025473524434,-81.298030505652,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 01; Title I=YES; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
ORANGE,ORANGE,480981,,ARBOR RIDGE K-8,Combination,YES,NO,,NO,,2900 Logandale Dr,Orlando,32817,28.587633474266,-81.2534799053844,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,School type code 04; Title I=NO; Alternative/ESE=N; coordinates pending NCES/district GIS pull.
