PINST,PADDRS,PCITY,PSTABB,PZIP,PCNTY,LATITUDE22,LONGITUDE22,LEVEL,RELIG,PPHONE,district
RESURRECTION CATHOLIC SCHOOL,333 TER WAY,LAKELAND,FL,33813,105,27.993726,-81.959900,1,1,8636443931,POLK
RIVERWALK CHRISTIAN ACADEMY,801 W 22ND ST,SANFORD,FL,32771,117,28.791410,-81.276431,1,2,4073212723,SEMINOLE
ST THOMAS AQUINAS CATHOLIC SCHOOL,800 BROWN CHAPEL RD,ST CLOUD,FL,34769,097,28.251329,-81.310478,1,1,4079571772,OSCEOLA
ST PAUL LUTHERAN SCHOOL,4450 HARDEN BLVD,LAKELAND,FL,33813,105,27.985160,-81.973091,1,2,8636447710,POLK
ONE SCHOOL OF THE ARTS,1675 DIXON RD,LONGWOOD,FL,32779,117,28.718927,-81.377622,3,2,4077740168,SEMINOLE
TUSKAWILLA MONTESSORI ACADEMY,1625 MONTESSORI PT,OVIEDO,FL,32765,117,28.637960,-81.265271,1,3,4076783879,SEMINOLE
THE CAPE ACADEMY,2111 SKYLINE BLVD,CAPE CORAL,FL,33991,105,28.007522,-81.906021,3,3,2395738668,POLK
MONTESSORI AT ROSEBOROUGH,751 E 5TH AVE,MOUNT DORA,FL,32757,069,28.800830,-81.637831,1,3,3527352324,LAKE
THE GENEVA SCHOOL,1775 SEMINOLA BOULEVARD,CASSELBERRY,FL,32707,117,28.612390,-81.310251,3,2,4073326363,SEMINOLE
ANNUNCIATION CATHOLIC ACADEMY,593 JAMESTOWN BLVD,ALTAMONTE SPRINGS,FL,32714,117,28.681550,-81.406481,1,1,1407774280,SEMINOLE
GENEVA CLASSICAL ACADEMY,1736 NEW JERSEY RD,LAKELAND,FL,33803,105,28.020340,-81.931941,3,2,8636441408,POLK
NORTH KISSIMMEE CHRISTIAN SCHOOL,425 W DONEGAN AVE,KISSIMMEE,FL,34741,097,28.320770,-81.408151,3,2,4078472877,OSCEOLA
ST PETER'S EPISCOPAL PRESCHOOL & KINDERGARTEN,700 RINEHART RD,LAKE MARY,FL,32746,117,28.778670,-81.348491,1,2,4073331707,SEMINOLE
SOUTHLAND CHRISTIAN SCHOOL,2464 FORTUNE RD,KISSIMMEE,FL,34744,097,28.302330,-81.343871,3,2,4072017999,OSCEOLA
TRINITY LUTHERAN SCHOOL,3016 W VINE ST,KISSIMMEE,FL,34741,097,28.303510,-81.433511,3,2,4078475377,OSCEOLA
FOREST CITY ADVENTIST SCHOOL,7563 FOREST CITY RD,ORLANDO,FL,32810,117,28.651850,-81.433001,1,2,4072290703,SEMINOLE
LIBERTY CHRISTIAN PREP SCHOOL,2451 DORA AVE,TAVARES,FL,32778,069,28.819140,-81.702881,3,2,3523430061,LAKE
