NCESSCH,NAME,district,STREET,CITY,STATE,ZIP,LAT,LON,CNTY,NMCNTY,LOCALE
120147008123,RENAISSANCE CHARTER SCHOOL AT POINCIANA,OSCEOLA,5125 ROBERT MCLANE BLVD,KISSIMMEE,FL,34758,28.25253,-81.48968,12097,Osceola County,21
120147008141,FOUR CORNERS UPPER SCHOOL,OSCEOLA,9160 BELLA CITTA BLVD,DAVENPORT,FL,33896,28.272904,-81.65296,12097,Osceola County,23
120147008236,VICTORY CHARTER SCHOOL,OSCEOLA,2880 N ORANGE BLOSSOM TRL,KISSIMMEE,FL,34744,28.332981,-81.404428,12097,Osceola County,21
120147008295,OASIS RESIDENTIAL CENTER,OSCEOLA,5970 S ORANGE BLOSSOM TRAIL,INTERCESSION CITY,FL,33848,28.262109,-81.523334,12097,Osceola County,41
120147008352,MATER BRIGHTON LAKES,OSCEOLA,3200 PLEASANT HILL RD,KISSIMMEE,FL,34746,28.200832,-81.441511,12097,Osceola County,41
120147008401,OSCEOLA TECHNICAL COLLEGE ST CLOUD CAMPUS,OSCEOLA,2901 17TH ST,ST. CLOUD,FL,34769,28.241798,-81.303186,12097,Osceola County,21
120147008430,OSCEOLA TECHNICAL COLLEGE POINCIANA CAMPUS,OSCEOLA,1030 CYPRESS PARKWAY,KISSIMMEE,FL,34759,28.145535,-81.446456,12097,Osceola County,23
120147008498,RENAISSANCE CHARTER SCHOOL AT TAPESTRY,OSCEOLA,2510 W CARROLL ST,KISSIMMEE,FL,34741,28.32335,-81.427863,12097,Osceola County,13
120147008554,LINCOLN-MARTI CHARTER SCHOOLS(OSCEOLA CAMPUS),OSCEOLA,2700 SW 8TH ST,MIAMI,FL,33135,28.30359,-81.352621,12097,Osceola County,13
120147008561,OSCEOLA SCIENCE CHARTER SCHOOL,OSCEOLA,2849 N JOHN YOUNG PKWY,KISSIMMEE,FL,34741,28.33134,-81.415446,12097,Osceola County,13
120147008617,MATER PALMS ACADEMY,OSCEOLA,7901 NW 103RD ST,HIALEAH GARDENS,FL,33016,28.286667,-81.471362,12097,Osceola County,13
120147008618,RENAISSANCE ACADEMY OF ARTS AND SCIENCES,OSCEOLA,4480 BOGGY CREEK RD,KISSIMMEE,FL,34744,28.346058,-81.262212,12097,Osceola County,21
120147008622,TOHOPEKALIGA HIGH SCHOOL,OSCEOLA,3675 BOGGY CREEK RD,KISSIMMEE,FL,34744,28.334639,-81.292876,12097,Osceola County,21
120147008626,BRIDGEPREP ACADEMY OSCEOLA COUNTY,OSCEOLA,4851 KOA ST,KISSIMMEE,FL,34758,28.1578,-81.475994,12097,Osceola County,23
120147008627,SPORTS LEADERSHIP ARTS MANAGEMENT (SLAM),OSCEOLA,611 LINE DR,KISSIMMEE,FL,34744,28.297929,-81.363116,12097,Osceola County,21
120147008640,NEOCITY ACADEMY,OSCEOLA,195 NEOCITY WAY,KISSIMMEE,FL,34744,28.29073,-81.371603,12097,Osceola County,21
120147008646,HARMONY MIDDLE SCHOOL,OSCEOLA,3725 ARTHUR J GALLAGHER BLVD,ST. CLOUD,FL,34771,28.18338,-81.153969,12097,Osceola County,41
120147008659,MATER ACADEMY AT ST CLOUD,OSCEOLA,6340 SUNSET DR,MIAMI,FL,33143,28.249114,-81.230797,12097,Osceola County,21
120147008660,CREATIVE INSPIRATION JOURNEY SCHOOL OF ST CLOUD,OSCEOLA,2030 OLD HICKORY TREE RD,SAINT CLOUD,FL,34772,28.244519,-81.257153,12097,Osceola County,21
120147008767,MATER BRIGHTON LAKES ACADEMY PREPARATORY HIGH,OSCEOLA,3250 PLEASANT HILL ROAD,KISSIMMEE,FL,34746,28.200227,-81.441502,12097,Osceola County,41
